floorSize,price,address,website
1 bd1 ba-- sqft- Apartment for rent,"$1,800/mo","636 N Plymouth Blvd, Los Angeles, CA 90004",https://www.zillow.com/homedetails/636-N-Plymouth-Blvd-Los-Angeles-CA-90004/2079967517_zpid/
2 bds1 ba726 sqft- Apartment for rent,"$2,290/mo","4610 1/2 Fern Pl, Los Angeles, CA 90032",https://www.zillow.com/homedetails/4610-1-2-Fern-Pl-Los-Angeles-CA-90032/2064332513_zpid/
"3 bds2.5 ba1,679 sqft- Apartment for rent","$4,495/mo","Armacost Manor, 1446 Armacost Ave APT 106, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1446-Armacost-Ave-APT-106-Los-Angeles-CA-90025/2105966276_zpid/
"1 bd1 ba1,000 sqft- Apartment for rent","$2,295/mo","1 bed, $2,295, 10394 Rochester Ave APT 10, Los Angeles, CA 90024",https://www.zillow.com/homedetails/10394-Rochester-Ave-APT-10-Los-Angeles-CA-90024/2091144495_zpid/
Studio1 ba420 sqft- Apartment for rent,"$1,395/mo","Studio, 420 sqft, $1,395, 801 S Gramercy Dr #105, Los Angeles, CA 90005",https://www.zillow.com/homedetails/801-S-Gramercy-Dr-105-Los-Angeles-CA-90005/2079085220_zpid/
2 bds2 ba-- sqft- Apartment for rent,"$2,895/mo","1827 Veteran Avenue, 1827 Veteran Ave APT 12, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1827-Veteran-Ave-APT-12-Los-Angeles-CA-90025/2089086173_zpid/
2 bds2 ba-- sqft- Apartment for rent,"$2,775/mo","12304 Rochester Ave APT 4, Los Angeles, CA 90025",https://www.zillow.com/homedetails/12304-Rochester-Ave-APT-4-Los-Angeles-CA-90025/2126267377_zpid/
1 bd1 ba330 sqft- Apartment for rent,"$1,750/mo","1 bed, 330 sqft, $1,750, 1416 W Olympic Blvd APT 3, Los Angeles, CA 90015",https://www.zillow.com/homedetails/1416-W-Olympic-Blvd-APT-3-Los-Angeles-CA-90015/2093940419_zpid/
1 bd1 ba-- sqft- Apartment for rent,"$1,816/mo","1837 N Gramercy Pl, 1837 N Gramercy Pl APT 9, Hollywood, CA 90028",https://www.zillow.com/homedetails/1837-N-Gramercy-Pl-APT-9-Hollywood-CA-90028/2084977533_zpid/
1 bd1 ba700 sqft- Apartment for rent,"$1,795/mo","6536 La Mirada Ave APT 308, Los Angeles, CA 90038",https://www.zillow.com/homedetails/6536-La-Mirada-Ave-APT-308-Los-Angeles-CA-90038/2064169557_zpid/
"2 bds2 ba1,190 sqft- Apartment for rent","$4,300/mo","7101 Playa Vista Dr APT 416, Playa Vista, CA 90094",https://www.zillow.com/homedetails/7101-Playa-Vista-Dr-APT-416-Playa-Vista-CA-90094/68993339_zpid/
1 bd1 ba700 sqft- Apartment for rent,"$2,250/mo","1 bed, 700 sqft, $2,250, 3982 Inglewood Blvd #9, Los Angeles, CA 90066",https://www.zillow.com/homedetails/3982-Inglewood-Blvd-9-Los-Angeles-CA-90066/2064180629_zpid/
"$2,562+ 2 bds","$2,104+ 1 bd","937 HYPERION AVE. | 937 Hyperion Ave, Los Angeles, CA",/b/937-hyperion-ave.-los-angeles-ca-5YwMVh/
1 bd1 ba950 sqft- Apartment for rent,"$2,150/mo","1237 Amherst Ave APT 4, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1237-Amherst-Ave-APT-4-Los-Angeles-CA-90025/2083680660_zpid/
1 bd1 ba800 sqft- Apartment for rent,"$1,995/mo","343 S Detroit St APT 104, Los Angeles, CA 90036",https://www.zillow.com/homedetails/343-S-Detroit-St-APT-104-Los-Angeles-CA-90036/2100798183_zpid/
2 bds1 ba825 sqft- Apartment for rent,"$3,500/mo","1121 Logan St, Los Angeles, CA 90026",https://www.zillow.com/homedetails/1121-Logan-St-Los-Angeles-CA-90026/2064170969_zpid/
Studio1 ba-- sqft- Apartment for rent,"$1,350+/mo","3170 - 856 S. Catalina St. - 209, 856 S Catalina St, Los Angeles, CA 90005",https://www.zillow.com/homedetails/856-S-Catalina-St-209-Los-Angeles-CA-90005/2064171393_zpid/
1 bd1 ba-- sqft- Apartment for rent,"$2,000+/mo","3170 - 856 S. Catalina St. - 101, 856 S Catalina St, Los Angeles, CA 90005",https://www.zillow.com/homedetails/856-S-Catalina-St-101-Los-Angeles-CA-90005/2064171394_zpid/
